Model	Corpus	Epoch	Ckpt	Variant	Overall	NonLive AST	Live	MultiTurn	MT Base	MT MissFunc	MT MissParam	MT LongCtx	Memory	Mem KV	Mem Vector	Mem RecSum	Relevance	Irrelevance	Simple	Multiple	Parallel	ParallelMult	Latency Mean s
Qwen3-4B Instruct (reference) (FC)	instruct			FC	38.51	87.23	81.79	31.75					20.86				81.25	79.07	73.42	96.50	91.50	87.50	
Qwen3-4B-Base SFT mega epoch 1 (ckpt-3850) (FC keepreason)	mega	1	3850	FC keepreason	35.82	82.69	78.98	23.00	27.00	23.00	28.00	14.00	23.23	10.97	21.29	37.42	62.50	81.11	66.75	92.50	88.00	83.50	
Qwen3-4B-Base SFT nemotron epoch 1 (ckpt-2941) (FC keepreason)	nemotron	1	2941	FC keepreason	34.03	81.60	76.24	21.25	22.50	27.50	23.00	12.00	17.42	2.58	14.84	34.84	68.75	83.87	65.92	91.00	85.00	84.50	
Qwen3-4B-Base SFT toolmind epoch 2 (ckpt-1832) (FC)	toolmind	2	1832	FC	32.64	81.38	77.79	16.75	22.00	18.50	15.50	11.00	19.14	9.68	13.55	34.19	68.75	78.65	64.50	93.00	85.50	82.50	
Qwen3-4B-Base SFT mega epoch 1 (ckpt-3850) (FC)	mega	1	3850	FC	31.99	83.17	78.16	15.50	17.50	19.00	12.00	13.50	16.56	9.68	14.84	25.16	75.00	78.93	65.17	93.50	87.00	87.00	
Qwen3-4B-Base SFT toolmind epoch 3 (ckpt-2748) (FC)	toolmind	3	2748	FC	31.72	80.92	77.20	15.62	20.00	18.00	14.00	10.50	17.20	9.03	14.84	27.74	62.50	77.79	63.67	92.50	84.50	83.00	
Qwen3-4B-Base SFT toolmind epoch 1 (ckpt-916) (FC)	toolmind	1	916	FC	31.09	81.54	77.42	13.38	16.50	16.00	13.50	7.50	17.85	7.74	13.55	32.26	75.00	76.08	64.17	94.50	84.00	83.50	
Qwen3-4B-Base SFT prefix epoch 1 (ckpt-5600) (FC)	prefix	1	5600	FC	29.98	82.83	76.76	8.38	9.00	10.00	10.00	4.50	16.13	7.10	15.48	25.81	81.25	82.83	67.33	93.00	86.00	85.00	
Qwen3-4B-Base SFT prefix epoch 1 (ckpt-2800) (FC)	prefix	1	2800	FC	29.83	82.08	77.13	8.38	10.00	10.00	9.00	4.50	14.62	5.16	13.55	25.16	75.00	84.70	64.83	91.00	85.50	87.00	
Qwen3-4B-Base SFT prefix epoch 1 (ckpt-6493) (FC)	prefix	1	6493	FC	29.37	83.21	77.13	8.25	11.00	7.50	9.00	5.50	11.83	6.45	7.74	21.29	62.50	84.91	70.33	93.00	85.50	84.00	6.7
