Label	Note	Model	Corpus	Epoch	Ckpt	Variant	Overall	NonLive AST	Live	MultiTurn	MT Base	MT MissFunc	MT MissParam	MT LongCtx	Memory	Relevance	Irrelevance	Simple	Multiple	Parallel	ParallelMult
Qwen3-4B Instruct	reference ceiling	Qwen3-4B Instruct (reference) (FC)	instruct			FC	38.51	87.23	81.79	31.75					20.86	81.25	79.07	73.42	96.50	91.50	87.50
Mega (ToolMind+Nemotron)	union of both corpora; reasoning KEPT in context	Qwen3-4B-Base SFT mega epoch 1 (ckpt-3850) (FC keepreason)	mega	1	3850	FC keepreason	35.82	82.69	78.98	23.00	27.00	23.00	28.00	14.00	23.23	62.50	81.11	66.75	92.50	88.00	83.50
Mega (ablation)	same weights; reasoning STRIPPED from context	Qwen3-4B-Base SFT mega epoch 1 (ckpt-3850) (FC)	mega	1	3850	FC	31.99	83.17	78.16	15.50	17.50	19.00	12.00	13.50	16.56	75.00	78.93	65.17	93.50	87.00	87.00
Nemotron	reasons every turn; reasoning KEPT in context	Qwen3-4B-Base SFT nemotron epoch 1 (ckpt-2941) (FC keepreason)	nemotron	1	2941	FC keepreason	34.03	81.60	76.24	21.25	22.50	27.50	23.00	12.00	17.42	68.75	83.87	65.92	91.00	85.00	84.50
Nemotron (ablation)	same weights; reasoning STRIPPED from context	Qwen3-4B-Base SFT nemotron epoch 1 (ckpt-2941) (FC)	nemotron	1	2941	FC	29.16	82.44	75.87	5.50	5.50	6.00	4.00	6.50	16.56	68.75	83.72	66.75	91.50	87.00	84.50
ToolMind graphsyn	reasons last turn only; best of 3 epochs	Qwen3-4B-Base SFT toolmind epoch 2 (ckpt-1832) (FC)	toolmind	2	1832	FC	32.64	81.38	77.79	16.75	22.00	18.50	15.50	11.00	19.14	68.75	78.65	64.50	93.00	85.50	82.50
ToolACE no-reason	no reasoning; best of 10 epochs	Qwen3-4B-Base SFT no-reason epoch 7 (ckpt-448) (FC)	noreason	7	448	FC	28.01	85.96	70.47	2.63					14.19	75.00	87.41	75.83	92.50	92.50	83.00
ToolACE reasoning	reasoning; best of 10 epochs	Qwen3-4B-Base SFT reasoning epoch 3 (ckpt-258) (FC)	reasoning	3	258	FC	25.13	84.75	70.02	1.00					8.17	75.00	77.20	77.00	92.00	88.00	82.00
Qwen3-4B-Base lenient	untrained, lenient parse	Qwen3-4B-Base (lenient parse) (FC)	lenient			FC	12.33	58.67	40.49	1.38					1.08	81.25	17.92	65.67	58.50	47.50	63.00
Qwen3-4B-Base	untrained zero point	Qwen3-4B-Base (untrained zero point) (FC)	base			FC	10.99	0.00	0.00	0.00					4.95	0.00	100.00	0.00	0.00	0.00	0.00
